species,PC1,Location,Confirmed_Coordinates,Coordinates_Lat_Long,Lat_machine_readable,Long_machine_readable,Date collected ,Date_collected_cleaned ,Date_collected_cleaned_machine_readable,Habitat/ distrbution,Concerns/Notes,figure Number/source,Collector and number,avg_temp,min_temp,max_temp,Precipitation,Snowfall,avg_temp_monthly,min_temp_monthly,max_temp_monthly,Precipitation_monthly,Snowfall_monthly,Notes,min_length,max_length,avg_length,min_width,max_width,avg_width,avg_volume_estimated,estimated_volume,avg_length_old,avg_width_old
A_augusta,0.019296175,"USA, California, Sonoma County, Salt Point State Park, 0.25 Mi. South of Hwy 1 (38,33'36""N 123,18'50"" W), Under Notholithocaprus densiflorus, Pinus muricata, Pseudotsuga menziesii; Marin County, Point Reyes National Seashore, Off Mt. Vision RD. (38, 05'03""N 122, 52'18""W) elev 1220 ft, under P. muricata",,"38.0539° N, 122.8876° W",38.0539,-122.8876,Dec 11 2011; Dec 10 2005,12/11/2011,12/11/2011,"Amanita augustaiscommon in the mixed coastal woods ofCalifornia, the Pacific Northwest, and Alaska(Fig. 8). Reports of collections from the Sierra-Cascade mountain ranges are scarce, particularlyin California. The primary fruiting period isautumnal but basidiomata may be collected inthe late summer and fall in the Pacific Northwestand in the winter and spring in California.Ittends to fruit in small numbers, typically 1-3basidiomata, rarely more.Amanita augustais anectomycorrhizal species and along the range of itsdistribution it is found in mixed conifer andbroadleaved habitats, amongst a number ofpotential hosts. The exact associations are notfully mapped out yet, but amongst the established ectomycorrhizal hosts areP. muricata(Bruns etal. 2002) andPs. menziesii(Smith et al. 2002),whileTsuga heterophyllais listed as probable(Trappe 1960). In addition, we have observedA.augustain solid stands of live oak (Quercusagrifolia) in California and Sitka spruce (Picea sitchensis) In Alaska, as well as in mixed conifer spruce (Pi. engelmannii ) in Oregon. Tanoak (N.densiflorus) is a common tree in much of its distribution in California. Future research will undoubtedly shed more light on the exact associations from the number of other potential conifer and broadleaved hosts.",,,Bojantchev DBB 49390 (Holotype UC 1851352),51.5,41,62,0,0,51.3,45.5,57.2,4.57,0,had to use data from kentfield whic is ~ 40 min away from Point Reyes,8.5,9.3,8.9,6,6.8,6.4,,,,
A_macrocarpa,-0.036854042,"China, Guangzhou City, Baiyun Mountain, in broad-leaved forests; the same location; the same location; Guanzhou City, Tianluhu Forest Park in broad-leaved forests,",,"23.128994° N, 113.253250° E",23.128994,113.25325,June 12 2009; May 18 2012; May 22 2012; Sept 6 2012,5/18/2012,5/18/2012,"Scattered on soil, in subtropical broad-leaved forests dominated by Castanopsis fissa, at an altitude of 200-300m",,,X.L Chen & H. Huang 27129; W.Q Deng & S.H Zhou 31069; Z.D Xiao & S.H Zhou 31932; M. Zhang and S. H Zhou 32531,,,,,,,,,,,,7,9,8,5,6,5.5,,262.4211613,,
A_chatamagotake,0.024998936,"Japan, Kyoto Pref, Kyoto, Sakyo-ku, Shugakuin Rikyu, on the ground in a mixed forest of Quercus spp., and Pinus densiflora; Sakyo-ku",,"35.0538° N, 135.8003° E",35.0538,135.8003,July 20 1974; July 21 2012,7/21/2012,7/21/2012,"In warm temperate regions, associated withevergreen fagaceous trees (Castanopsis,Quercus, andLith-ocarpusspp.), or sometimes withPinusdensiflora, little tomoderate development of litter layer on the ground. Fruitingoccurs in Jun to Oct; known distribution is Japan",,,"S. Yoshimi (OSA-MY1000270, holotype); T. Katayama (TNS-F-70017)",n/a,67,83,0,0,n/a,68,82,19.54,0,"Used weather data from Hirakata ~ 1 hr away, also precipitation for the data was trace which means negligible or ~ 0",7,10.5,8.75,5.5,8,6.75,,202.6243485,,
A_cingulata,-0.058799189,"China, Hunan Province, Zhuzhou country, yanling scenic spot, on the ground in a mixed forest dominated by members of Fagaceae and Theaceae",,"27.8934° N, 113.1593° E",27.8934,113.1593,July 22 2012,7/22/2012,7/22/2012,"On soil under trees of Fagaceae or Pinaceae distribution is currently known from Hunan and Jiangxi provinces, Central China",,,Q. Cai 866,,,,,,,,,,,,9,11.5,10.25,5.5,7,6.25,,193.7524909,,
A_heishidingensis,-0.015549489,"China, Guangdong Province, fengkai County, Heishiding National Nature Reserve; China Guangdong Province, Heishiding National Nature Reserve",,"23.27° N, 111.53° E",23.27,111.53,Feb 29 2012; Feb 18 2014,2/18/2014,2/18/2014,"Gregarious or scattered on soil in forests dominated by Fagaceae, at 190-600 m alt. Presently known only from Heishiding national Nature Reserve, Guangdong Provice China",,,Fang Li; Fang Li 1580,,,,,,,,,,,,8,12,10,6,8,7,,315.5729819,,
A_subpallidorosea,0.161925307,"China. Guizhou Province, Langshui Village",,"28.436625, 108.050678",28.436625,108.050678,September 2014,9/1/2014,9/1/2014,,,,,,,,,,,,,,,,8.5,11,9.75,8,10,9,,279.7980956,,
A_viridissima,-0.129490465,"‘Chapada da Diamantina, Bahia, Brazil",,"-12.881003, -41.373129",-12.881003,-41.373129,Jan. 9 2015,1/9/2015,1/9/2015,,,,,,,,,,,,,,,,9.8,13,11.4,5.7,8.3,7,,461.0123593,,
A_djarilmari,0.024924868,"Australia, Western Australia, Shire of Cuballing, Dryandra Woodland,"," 32,47'35""S, 116,59'58""E, 310m ; ",,-32.7931,116.9994,April 18 2016; ,4/18/2016,4/18/2016,"Singly or gregarious in sand, in native vegetation; nearby plantsincludeAcacia acuminata,Allocasuarina huegeliana,Corymbia calophylla,Eucalyptus accedens,E. astringens,E. falcata,E. marginata,E. platypus,E. wandoo,Gastrolobium calycinum,Hypocalymma angustifolium.Occursin the Northern Jarrah Forest JAF01 and Avon Wheatbelt",,,E.M Davidson 10-2016&P.J.N Davidson (Holo: Perth 08776067!); ,,,,,,,,,,,,8,11,9.5,6,7,6.5,,,,
A_griseibrunnea,-0.12767677,"Western Australia: Perth, OKM 23629 HOLOTYPE (PERTH)",,"31.9514° S, 115.8617° E",-31.9514,115.8617,early May to early June,6/15/2025,6/15/2025,"HABITAT AND DISTRIBUTIONTe:rrestrial, in loose, sandy soil under or near E. marginata with Pinus pinaster planted nearby. Fmiting from early May to early June in Perth, Western Australia.",no specific date,,,,,,,,,,,,,,10,14,12,5,6,5.5,,,,
A_brunneiphylla,-0.159794482,"Western Australia: Perth, OKM 2362 1 (E5 11) HOLOTYPE (PERTH)",,"31.9514° S, 115.8617° E",-31.9514,115.8617,"fruiting from early May to June in Perth, Western Australia.",6/15/2025,6/15/2025,native Eucalyptus forests,No specific date,,,,,,,,,,,,,,9,10.8,9.9,4.1,5,4.55,,385.2011471,,
A_flaviphylla,-0.179217162,western Australia: Walpole,,"34.9762° S, 116.7313° E",-34.9762,116.7313,Fruiting from late May through June,6/15/2025,6/15/2025,"HABITAT AND DISTRIBUTIOSNc:attered in very sandy soil under E. ficifolia, E. marginata, Melaleuca cuticularis Labill. and Hakia species",No specific date,,,,,,,,,,,,,,11,13,12,5,6,5.5,,,,
A_carneiphylla,-0.14742537,"western Australia: Perth, OKM 2361 1 (E5 10) HOLOTYPE (PERTH",,"31.9514° S, 115.8617° E",-31.9514,115.8617,Fruiting in May and early Jun,6/15/2025,6/15/2025,"HABITAT AND DISTRIBUTIOTNe:rrestrial, several to gregar- ious, usually buried almost to the pileus in sandy soil, under open stands of E. rnarginata Donn ex Smith, Banksia menzie- sii R.Br., Allocasuarina fraseriana Mig., and in one area, P. pinaster Ait. Fruiting in May and early June in Perth, West- em Australia.",No specific date,,,,,,,,,,,,,,10,12,11,5,6,5.5,,,,
A_perpasta,0.098086696,"Malaya, Negri Sembilan, Gunong Angsi, at 500 m alt; Singapore, Bukit timah",,"2.6986° N, 102.0481° E",2.6986,102.0481,July 4 1930; Sept 4 1942,9/4/1942,9/4/1942,Terrestrial in tropical forest in Malaya,,figs 133-136,E.J.H Corner; E.J.H Corner,,,,,,,,,,,,7,8.5,7.75,6.5,8,7.25,,,,
A_malayensis,-0.057853928,"Malaysia, Perak State, Taiping district, Taiping Lake Gardens; Malaysia, JOHOR STATE, Endau-Rompin National Park; SELANGOR STATE, Kepong",,"4.8525° N, 100.7495° E",4.8525,100.7495,July 31 2007; Sept 9 2009; Sept 22 199,9/9/2009,9/9/2009,"In small groups on the ground, occasionally forming a fairy ring, in lowland dipterocap forest; know from Malaysia to Singapore",,,S.S Lee 4891; S.S Lee 62849; N. Sikin 2811,,,,,,,,,,,,9,12,10.5,6,8,7,,,,
A_rubromarginata,0.062588915," Ishigaki Island (Okinawa, Japan)",,"24.401905, 124.176695",24.401905,124.176695," Sept. 15, 2003",9/15/2003,9/15/2003,,,,,,,,,,,,,,,,8,9,8.5,5.5,7,6.25,,269.39157,,
A_cinereoconia,-0.137632633,"USA.: Virginia, Mt Lake; North Carolina: Orange Co., Chapel Hill, Battle's Park; Macon Co., Highlands",,"37.3621° N, 80.5334° W",37.3621,-80.5334,Aug 17 1941; Sept 21 1908; Aug 7 1938; Aug 21 1943; ,8/17/1941,8/17/1941,Terrestrial in woods in the eastern USA,n/a,figs 209-214,L.R Hesler 13976; W.C coker; W. C coker 10873; L. Steward 10950; W.C Coker 13518,74,64,84,0,,77.6,66.2,89,1.12,,,8.5,11.5,10,5,6.5,5.75,,,10,5.75
A_chlorinosma,-0.106530916,"USA: New York, Closter; Tennessee, Knoxville",,"35.9653° N, 83.9233° W",35.9653,-83.9233,Aug 1877; July 11 1934,8/1/1877,8/1/1877,Terrestrial in forest in eastern USA,info on pg 452,figs 189-191,"C.F Austin, J.K Underwood (Hesler 4074 in part, mixed with A. Rhapalopus; TENN, L)",80.5,72,89,0.02,,78.5,70.8,91.6,0.14,,,8.5,10.5,9.5,5,6,5.5,,,9.5,5.6
A_solitaria,-0.123387863,"England: Surrey, Horseley; Netherlands, prov. Utrecht: Utrecht; France: Oise, Orry-la-ville; Pyrenees Orientales, near prepignan; Czechoslovakia: Bohemia; reg. Praha Karlstejn; Usti and Labem, Libochovice nad Ohri; Slovakia, Saudorf near Bratislava; Austria, Near Vienna; Italy: Tentino, Vela NW of Trento; Elba, Portoferrario; Yugoslavvia: Dalmatia",,"51.2794° N, 0.4353° W",51.2794,-0.4353,Sept 6 1953; Aug 31 1953; Sept 18 1953; Sept 17 1953; Aug 1949; Nov 11 1966; Sept 5 1952; Sept 19 1961; Sept 12 1948; No Date; Jun 1901; Oct 1913; Nove 25 1964,11/25/1964,11/25/1964,"Terrestrial in woods on heavy, calcareous or neutral soils in Europe except northern part, with prefrence for alluvial woods; fruiting especially in warm dry summers",,figs 102-106,R.W.G Dennis; C.Bas 150; C. Bas 206; O>F Uffelie and al; H. Romagnesi; A. Marchand; S. Indelka; Z. Neubauer; Hagenbrun; J. Bresadola; Gabari; M. Tortie,,,,,,,,,,,,9,12,10.5,6,8,7,,407.0487642,10.5,7
A_silvifuga,0.032473972,"USA, Texas, Brazos Co, College Station",,"30.6210° N, 96.3255° W",30.621,-96.3255,Sept 12 1951,9/12/1951,9/12/1951,In open pasture in Texas without any near-by woody vegetation,,,H. D Thiers 1397,81,74,88,0.45,0,80.5,70,91.1,5.9,0,,7,9,8,5.5,7,6.25,,,,
A_thiersii,0.185247837,"USA, Texas, Brazos Co., College Station",,"30.6210° N, 96.3255° W",30.621,-96.3255,Sept 11 1952; Sept 15 1958,9/15/1958,9/15/1958,Terrestrial on lawns in Texas,,figs 88-91,H.D Thiers 1713; H.D Thiers 5383,81.5,70,93,0,0,79.4,65.8,93.1,2.22,,,7.5,9.5,8.5,7,9,8,,,8.6,8.5
A_abrupta,0.032018489,"USA, Iowa, Iowa city; Tennessee, near Knoxville; Alabama, Lee co, Auburn",,"41.6578° N, 91.5346° W",41.6578,-91.5346,Sept 19 1942; Aug 16 1942; July 1896,9/19/1942,9/19/1942,"Terrestrial in wood in central, eastern, and southern USA",,figs 164-166,G. W Martin; L.R Hesler 14388; L.M Underwood,65.5,53,78,0.11,missing,63,52.8,73.3,3.86,missing,,7,9.5,8.25,6,8.5,7.25,,,8.1,6.7
A_onusta,-0.045021478,"USA, Vermont, Windsor Co, N Pomfret; MAssachusetts, Franklin Co, Mt Toby; Tennessee, Great Smoky Mountains; North Carolina, Watauga Co, Blowing Rock",,"42.4881° N, 72.5376° W",42.4881,-72.5376,Aug 18 1881; Aug 25 1963; Aug 26 1936; Aug 9 1953; Sept 23 1963; Aug 17 1922;,9/23/1963,9/23/1963,"Terrestrial in woods in eastern and north-eastern USA; also reported from south-eastern Canada (Pomerleau, l.c)",,fig 157-160,A.P Morgan; C.Bas 3798A; L.R Hesler 9051; L.R Hesler 20962; C.Bas 3908; W.C Coker 5520,59,48,70,0,0,65.1,51.9,78.1,2.54,0,Used weather data from Amnherst as no data from closer location but only ~25 min away; Also same day and collection site as A_cinereopannosa A_atkinsoniana,8,11,9.5,5,8,6.5,,211.8480645,9.5,6.25
A_mutabilis,-0.069374095,"USA: North Carolina, Davis Island; Florida, Alachua Co, Gainesville; Alachua Co, Burnett's Lake; Alachua Co, Gainesville",,"29.6520° N, 82.3250° W",29.652,-82.325,1918; Aug 9-23 1937; Sept 24 1941; June 25 1938,9/24/1941,9/24/1941,"Terrestrial, often in Pinus and Quercus forests on sandy soil, in south-eastern USA",,figs 343-354,H.C Beardslee; W.A Murrill F 16048; W.A Murrill F 20004; W.A Murril F 16364,79.5,69,90,0,missing,78.3,68.3,88.4,9.63,missing ,Used the gainseville plot since had a date provided with data avalible,11,13.5,12.25,6,8.5,7.25,,,12.3,7
A_nauseosa,0.159826207,"England, Kew, Royal Botanic Gardens",,"51.4787° N, 0.2956° W",51.4787,-0.2956,23-24 Sept 1963; Sept-Oct 1963,9/24/1963,9/24/1963,Terrestrial in greenhouses in England; Probably imported by orgin unknown,,figs 78-80,D.A Reid,,,,,,,,,,,,7,9,8,6.5,8,7.25,,,8.5,7.2
A_areolata,-0.012375068,"Ikegane-cho, Okazaki-shi, Aichi Prefecture",,"34.9167° N, 137.2509° E",34.9167,137.2509,Sept 28 2000,9/28/2000,9/28/2000,Aichi (Japan); in a broad-leaved forest with Castanopsis cuspidata and Quercus serrata ,,,S. Honda 30251,,,,,,,,,,,,8.4,11.2,9.8,6,8,7,,,,
